# Triangle Configuration is k x [-0.025  0.     1.   ], [0.05 0.   0.  ]
# k	 Btree	 Btreenw	 BZel	 BZelnw	 Bloop	 Bloopnw\ Bdamped
1.675000000000000377e-01 5.106631729088499397e+07 5.335821271119190753e+07 4.429509944069103897e+07 4.510022380724706501e+07 4.648802901233646274e+07 4.648733509107773006e+07 5.249673135489637405e+07
1.700000000000000400e-01 5.027223769841625541e+07 5.241199065040012449e+07 4.351142278734226525e+07 4.424801432581350952e+07 4.575355542035368830e+07 4.571991437414193898e+07 5.163062717443626374e+07
1.725000000000000422e-01 4.960389592767927796e+07 5.148474837175827473e+07 4.277963086103987694e+07 4.341289745638411492e+07 4.503304949325463176e+07 4.497402904745423794e+07 5.081755298258766532e+07
1.750000000000000444e-01 4.903947299996177107e+07 5.057612468319067359e+07 4.209453187753114104e+07 4.259900803471858054e+07 4.431680175028471649e+07 4.424910366908960789e+07 5.004647782460557669e+07
1.775000000000000466e-01 4.855271029844834656e+07 4.968575764637739956e+07 4.143976233944123983e+07 4.180101030480514467e+07 4.359653144579046965e+07 4.354066201976258308e+07 4.930590417250748724e+07
1.800000000000000488e-01 4.811717775196704268e+07 4.881328562519830465e+07 4.080723415090608597e+07 4.102071932569443434e+07 4.287225143100320548e+07 4.285083894813170284e+07 4.858543432704709470e+07
1.825000000000000511e-01 4.770574554203629494e+07 4.795834817859592289e+07 4.018728625098167360e+07 4.025773646308961511e+07 4.214467291135237366e+07 4.217897386110946536e+07 4.787557109246531129e+07
1.850000000000000533e-01 4.729043612976360321e+07 4.712058686026549339e+07 3.957158609061341733e+07 3.951218069225158542e+07 4.141688068758396059e+07 4.152400318857137114e+07 4.716766167400364578e+07
1.875000000000000555e-01 4.684657629182189703e+07 4.629964590575082600e+07 3.895156637112089247e+07 3.878141686053731292e+07 4.069385824261410534e+07 4.088720981281400472e+07 4.645510362022747844e+07
1.900000000000000577e-01 4.635340485446663946e+07 4.549517282916332781e+07 3.832466184021419287e+07 3.806894379768539965e+07 3.998683354035372287e+07 4.026457701617397368e+07 4.573330761139451712e+07
1.925000000000000322e-01 4.579361468045012653e+07 4.470681894450901449e+07 3.768567422432642430e+07 3.737097909276771545e+07 3.930127984434197843e+07 3.965902652870880067e+07 4.499934375880561769e+07
1.950000000000000344e-01 4.515922705023554713e+07 4.393423980226042867e+07 3.703409668400537968e+07 3.668718411441571265e+07 3.864591563332071155e+07 3.906971552010754496e+07 4.425329572397286445e+07
1.975000000000000366e-01 4.444913712729155272e+07 4.317709557412333786e+07 3.637000185057938099e+07 3.601724370322327316e+07 3.802914366618370265e+07 3.848978866592713445e+07 4.349718542080837488e+07
2.000000000000000389e-01 4.366600205819799751e+07 4.243505136825419962e+07 3.569976821124900132e+07 3.536320240841075033e+07 3.745828645717182755e+07 3.792740239460166544e+07 4.273388835850327462e+07
2.025000000000000411e-01 4.282142211869238317e+07 4.170777750268421322e+07 3.502570292869780213e+07 3.472297472262353450e+07 3.693492783954265714e+07 3.737974205608820915e+07 4.196820598443815857e+07
2.050000000000000433e-01 4.192824699207874388e+07 4.099494972381075472e+07 3.435163103240787238e+07 3.409583287944706529e+07 3.645916419066473842e+07 3.684568929347971827e+07 4.120472948782470822e+07
2.075000000000000455e-01 4.100214998581479490e+07 4.029624939067649841e+07 3.368270917891819775e+07 3.348219992396114394e+07 3.602851607877644897e+07 3.632438329678026587e+07 4.044816083635913581e+07
